TIME,SYMBOL,EX,PRICE,SIZE,COND,BID,BIDSIZ,OFR,OFRSIZ,SIGN
2017-09-19 14:00:35,BAC,Y,24.96,200, ,24.96,253,24.97,1576,-1
2017-09-19 14:00:42,BAC,V,24.96,100, ,24.96,145,24.97,401,-1
2017-09-19 14:00:44,BAC,Y,24.96,100, ,24.96,145,24.97,401,-1
2017-09-19 14:00:44,BAC,J,24.96,200, ,24.96,127,24.97,401,-1
2017-09-19 14:00:46,BAC,B,24.96,400, ,24.96,587,24.97,3199,-1
2017-09-19 14:00:47,BAC,B,24.96,200, ,24.96,292,24.97,2002,-1
2017-09-19 14:00:47,BAC,B,24.96,100, ,24.96,344,24.97,2405,-1
2017-09-19 14:00:50,BAC,Y,24.96,100, ,24.96,254,24.97,2004,-1
2017-09-19 14:00:52,BAC,V,24.96,100, ,24.96,41,24.97,402,-1
2017-09-19 14:00:53,BAC,Y,24.96,100, ,24.96,174,24.97,1608,-1
2017-09-19 14:00:56,BAC,Y,24.965,200, ,24.96,55,24.97,402,1
2017-09-19 14:00:56,BAC,T,24.96,100, ,24.96,96,24.97,804,-1
2017-09-19 14:00:57,BAC,Y,24.965,1520, ,24.96,49,24.97,403,1
2017-09-19 14:00:57,BAC,Y,24.97,40, ,24.96,916,24.97,1852,1
2017-09-19 14:00:57,BAC,B,24.97,724, ,24.96,952,24.97,1366,1
2017-09-19 14:00:57,BAC,Y,24.97,200, ,24.96,273,24.97,357,1
2017-09-19 14:00:57,BAC,Y,24.97,100, ,24.96,1959,24.97,2409,1
2017-09-19 14:01:00,BAC,Y,24.97,100, ,24.96,1451,24.97,1703,1
2017-09-19 14:01:00,BAC,Y,24.96,100, ,24.96,1863,24.97,2467,-1
2017-09-19 14:01:01,BAC,P,24.965,500, ,24.96,528,24.97,698,1
2017-09-19 14:01:01,BAC,Z,24.965,100, ,24.96,528,24.97,698,1
2017-09-19 14:01:06,BAC,V,24.965,300, ,24.96,301,24.97,348,-1
2017-09-19 14:01:08,BAC,Y,24.97,100, ,24.96,1495,24.97,1722,1
2017-09-19 14:01:10,BAC,Y,24.97,100, ,24.96,2208,24.97,2397,1
2017-09-19 14:01:11,BAC,V,24.965,200, ,24.96,2208,24.97,2397,-1
2017-09-19 14:01:14,BAC,P,24.965,10, ,24.96,304,24.97,345,-1
2017-09-19 14:01:15,BAC,Y,24.97,100, ,24.96,1198,24.97,1368,1
2017-09-19 14:01:15,BAC,Y,24.97,200, ,24.96,568,24.97,684,1
2017-09-19 14:01:15,BAC,P,24.965,820, ,24.96,273,24.97,345,-1
2017-09-19 14:01:23,BAC,N,24.965,6, ,24.96,526,24.97,684,-1
2017-09-19 14:01:26,BAC,Y,24.97,100, ,24.96,266,24.97,339,1
2017-09-19 14:01:28,BAC,P,24.965,18, ,24.96,267,24.97,344,-1
2017-09-19 14:01:40,BAC,B,24.97,8408, ,24.96,1192,24.97,1370,1
2017-09-19 14:01:40,BAC,B,24.965,100, ,24.96,1192,24.97,1370,-1
2017-09-19 14:01:40,BAC,Y,24.97,100, ,24.96,310,24.97,338,1
2017-09-19 14:01:47,BAC,Y,24.97,900, ,24.96,264,24.97,340,1
2017-09-19 14:01:47,BAC,Z,24.97,6437, ,24.96,2010,24.97,1996,1
2017-09-19 14:01:47,BAC,P,24.97,2892, ,24.96,5807,24.97,3956,1
2017-09-19 14:01:47,BAC,N,24.97,3794, ,24.96,5667,24.97,2269,1
2017-09-19 14:01:47,BAC,Z,24.97,3, ,24.96,796,24.97,233,1
2017-09-19 14:01:47,BAC,Y,24.97,400, ,24.96,398,24.97,113,1
2017-09-19 14:01:47,BAC,B,24.97,600, ,24.96,1191,24.97,362,1
2017-09-19 14:01:47,BAC,Y,24.97,100, ,24.96,6352,24.97,2746,1
2017-09-19 14:01:48,BAC,V,24.97,2200, ,24.96,793,24.97,236,1
2017-09-19 14:01:48,BAC,Z,24.97,20915, ,24.96,2961,24.97,405,1
2017-09-19 14:01:48,BAC,N,24.97,13304, ,24.96,5006,24.97,1490,1
2017-09-19 14:01:48,BAC,M,24.97,100, ,24.97,17174,24.98,15080,-1
2017-09-19 14:01:49,BAC,T,24.975,49, ,24.97,256,24.98,461,1
2017-09-19 14:01:49,BAC,T,24.975,20, ,24.97,256,24.98,461,1
2017-09-19 14:01:49,BAC,T,24.975,13, ,24.97,256,24.98,461,-1
2017-09-19 14:01:49,BAC,B,24.975,200, ,24.97,518,24.98,870,-1
2017-09-19 14:01:51,BAC,N,24.975,40, ,24.97,293,24.98,436,-1
2017-09-19 14:01:58,BAC,Y,24.98,100, ,24.97,300,24.98,410,1
2017-09-19 14:01:58,BAC,T,24.975,3360, ,24.97,297,24.98,415,-1
2017-09-19 14:01:58,BAC,Y,24.973000000000006,800, ,24.97,297,24.98,415,-1
2017-09-19 14:02:04,BAC,Y,24.97,296, ,24.97,291,24.98,402,-1
2017-09-19 14:02:04,BAC,Y,24.97,3904, ,24.97,3034,24.98,7650,-1
2017-09-19 14:02:04,BAC,Y,24.97,100, ,24.97,395,24.98,1394,-1
